Event,Description,Event Start Year,Default Value ,Appointments,Domestic,Elections,Foreign Policy,Economic,Justice,Military,Misc
Residence Act of 1790,"Part of the Compromise of 1790. Jefferson and Madison agreed to allow the Funding Act to pass, which would see the federal government gain authority by assuming the state debts and establishing a national debt and credit system, while Hamilton and his supporters would allow the nation's capital move to the South. Philadelphia would remain the capital for 10 more years before the District of Columbia would take over. ",1790,25,,x,,,,,,
The 1st Bank of the US (Bank Bill of 1791),"The first bank would last only until 1811, but it was America's first official central bank, althought there had been a de facto central bank in the Bank of North America in the early 1780s. This 1st bank's primary job was to issue money to the US government. The bank was strongly supported by Hamilton's supporters and strongly opposed by Jefferson. In fact, many historians point to this Bank as firmly putting Jefferson at odds with Hamilton because he believed it would centralize power in the hands of Northern bankers, speculators, and other Northern men of wealth. ",1791,25,,,,,x,,,
The Coinage Act of 1792,"This act created the US Dollar as the currency and also created the US Mint for the creation of this currency, and the regulation of this currency.",1792,25,,,,,x,,,
Established US Customs Service,This service functioned as the primary gatherer of federal revenue by collecting import tariffs in port cities. ,1789,25,,,,,x,,,
Tariff of 1789,"This was the first federal tariff. For years the states/colonies had disagreed on tariffs at the national level, with each colony having their own rules. The Southern states favored low tariffs or no tariffs, while the Northern states favored high tariffs for manufacturing. Madison was able to get a compromise through Congress, but he had to abandon his desire to have the tariff descriminate against British imports. Washington signed the tariff as necessary for gathering revenue to pay off Rev War debt. The tariff, despite opposition from some Southerners, was rather low by the standard of most US tariffs. ",1789,10,,,,,X,,,
Tariff of 1790,"This is the 2nd tariff bill, while it only slightly raised the 1789 tariff, it was the first tariff bill designed to do more than just raise revenue to pay off debt. The increase was because Hamilton believed revenue needed to be gathered to pay the operational costs of the Federal Government. ",1790,10,,,,,x,,,
11th Amendement,"Presides during the passing of this Amendment. It protects state governments from being sued by private citizens, out-of-state residents, and foriegners. ",1795,5,,,,,,x,,
Fugitive Slave Act of 1794,Guarantees the right of a slave holder to recover escaped slaves,1794,25,,x,,,,x,,
Slave Trade Act of 1794,This 1st the first anti-slavery act by the US government. It banned the building or outfitting of ships in the US intended to be used in the international slave trade. ,1794,5,,,,x,,x,,
Ignores Abolition Petition,"In 1790, Benjamin Franklin petition Congress to abolish slavery as part of the Pennsylvania Abolition Society. While Washington was not a member of Congress, he did not use his influence in this moral debate.",1790,3,,,,,,x,,
Vermont joins the Union,Presides as this state joins the Union,1791,5,,x,,,,,,
Kentucky joins the Union,Presides as this state joins the Union,1792,5,,x,,,,,,
Tennessee joins the Union,Presides as this state joins the Union,1796,5,,x,,,,,,
Signs various bill establishing the executive departments,"The bills creating the Departments of State, War and Treasury under the executive branch were quickly passed and signed.",1789,25,,,,x,x,,x,
Naturalization Act of 1790,"This was a rather lenient immigration bill, our first, which gave quick citizenship. All one needed ot be was white, ""good character"", and be a resident for two years. ",1790,3,,X,,,,,,
Naturalization Act of 1795,"This 2nd immigration bill extended the waiting period for citizenship from two years to five year, and altered ""good character"" to ""good moral character"". It removed the restriction that citizenship was only for ""free white persons""",1795,3,,x,,,,,,
Delivers 1st State of the Union address,This sets a precedence for an annual message. ,1790,1,,,,,,,,x
